Title,Published date,Issues,Number of signatures
Can Use a Fake Name and VPN On Facebook Without Getting Flagged or Confirm Your Identity With Facebook," August 15, 2018","Confirm Your Identity With Facebook https://m.facebook.com/help/contact/183000765122339
https://my.pcloud.com/publink/show?code=XZX3627Z75mgNUF39bXo3CsxTdRbR8mQ...
https://my.pcloud.com/publink/show?code=XZY3627Z3QyzY5ax8gb4oCzC0h3jdjIR...
https://my.pcloud.com/publink/show?code=XZiG627Z94a9J6gO1sSs2d3DFd4rokSm...",229
Stop Trump's Military Parade!," July 20, 2018","Why is this Administration wasting taxpayer dollars on a military parade designed to feed the ego of the President when:
Puerto Rico still doesn't have power!
Flint still doesn't have clean water!
We have homeless veterans!
They are cutting funding to CHIP & Medicaid!
They are stealing from Social Security and our future!
And we certainly can't forget all the golf trips and future trips to Trump's properties! Trump benefits from those trips not once but twice! The Trump properties are making money off the cost of his security detail and whomever else he chooses to bring with him! He's double dipping! Trump and his Administration have wasted enough taxpayer money!",216
Petition to Changes Made to NOAA’s OPC's Graphical Products," August 01, 2018","We/I the undersigned, offer our name(s)/signature(s) to strongly oppose the changes made by NOAA’s Ocean Prediction Center’s synoptic scale meteorological and oceanographic charts that they imposed on the maritime industry. These alterations of removing critically important information that were originally stakeholder driven and in place for decades, now unnecessarily jeopardizes mariners’ safety. We/I further believe that these unwarranted changes put mariners at risk for misinterpretation of the true meteorological and oceanographic picture, especially those mariners engaged in commerce. NOAA's OPC implemented the downgrading of certain products without proper vetting and seeking out consensus solutions, thus not giving the mariner a voice.",196
Add the Frente Sandinista de Liberacion Nacional to the official list of global terrorist organizations.," August 09, 2018",The Nicaraguan Frente Sandinista de Liberacion Nacional (FSLN) is an organization currently responsible for the deaths of more than 400 Nicaraguans and thousands wounded.  We would like this organization to be officially labeled as a global terrorist group.  They are also responsible for running illegal search and kidnap operations in Costa Rica to bring refugees back to Nicaragua for torture.,196
Allow CMSAF Kaleth Wright to serve a second tour as CMSAF," August 03, 2018","Praise be Enlisted Jesus, let us keep him where he is for a few more years!",193
The Trump administration is insisting upon having a Military Parade on  11-10-2018.," July 19, 2018","The estimated cost of this Military Parade is $12 Million dollars. This money is needed elsewhere in the government - for veterans, for the poor, for healthcare , for homeland security against further cyberattacks from Russia ; the list is endless.",181
Help preserve the 10th-century Christian baptism location of Kyivan-Rus in Ukraine!," August 01, 2018","In Ukraine’s capital of Kyiv, archaeologists have found an ancient river port on the Pochaina River, where 1,030 years ago, Prince Vladimir the Great adopted the Christian faith for his people. From here, Christianity spread to all Slavic lands, and led to the history of many countries of Europe and Asia changing. This historical find is sacred to all Christians of the world. Thanks to Ukraine’s Parliament, a resolution was adopted on granting the spot national status and for the creation of a museum in its place. However, due to the unstable political situation, the Donbas War and internal corruption in Ukraine, the find of the century is in danger of being destroyed due to the construction of an underground shopping center. We ask for international support in protecting the holy place.",176
"Reform all existing legislation focused on epinephrine to remove language noting ""auto-injector"" and/or ""EpiPen""."," August 05, 2018","To avoid the appearance of conflicts of interest and to promote open and competitive federal procurement, President Trump should champion reform to all existing legislation that notes the following terms: ""auto-injector"" and/or ""EpiPen"". Rather, the legislation should make use of the terms ""epinephrine"" and specify the doses for the adult and youth applications, .30mg and .15mg, respectively. Thus, government agencies will not be steered to one sole supplier within the procurement process. Specifically, the umbrella legislation essentially steers all agencies and branches to the one vendor and/or a sole alternative to meet the need. Currently, there are many alternatives to the EpiPen, including Symjepi (Adamis/ Sandoz);however, the legislation continues to block agencies from purchasing.",169
Bring Home my Husband - Process the Waiver!," July 20, 2018","Imagine being in love, starting your morning waking up to your spouse, getting ready for work, kissing your spouse good bye and heading out the door; did you ever miss your spouse during the day and couldn’t wait to see them when you get home? Well now imagine being separated from your loved one for 8 years because of the immigration process and extreme vetting and to have legally and patiently waited for approval after 8 years to be told your spouse can’t come home because of the Travel Ban. We have filed a waiver but the approval is less than 1%. My husband has lived in the U.S. for 16 years where I met him in 2005, he is also a homeowner and taxpayer. We deserve love and to be reunited in our home. PLEASE help us by signing this petition and getting our story heard.",165
"Nicaraguans request that the Magnistik law be apply to Arnoldo Aleman, who Assisted and supported the Ortega gov."," July 27, 2018","Nicaraguans request that the Magnistiky law be apply to Arnoldo Aleman, who Assisted and supported Ortega's goverment.,
Aleman was involved in money laundering and bleed the National patrimony of Nicaragua.
They were Ortega's puppets to demonstrate a fictitious Democracy to obtain support from USA and International aid, all played this hoax for profit to receive their slice of Nicaraguan patrimony for illicit enrichment.
Grounds for inadmissable in USA :
Have you incited, assisted, or otherwise participated in : political killings, or other acts of violence ?Have you, while serving as a government official, been responsible or directly been involved or engage in, money laundering? Have you ever assisted a Goverment that violated Human Rigths ,or otherwise participated in genocide?",161
